Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Edgar Rice Burroughs,The Gods of Mars,1576464482,9781576464489,OL1418240W,Gods of Mars: A Barsoom Novel,Edgar Rice Burroughs,5aec2312-735a-4e10-b9cb-a4a908e46c6a
Ayn Rand,Anthem,1565115473,9781565115477,OL731737W,Anthem,Ayn Rand,903597d9-88ba-4a99-8891-165da04c2e8a
Joe Haldeman,Forever Peace,441005667,9780441005666,OL271152W,Forever Peace,Joe Haldeman,bece5ee1-3d1e-4543-a954-447fd4584572
C.J. Cherryh,Foreigner,756402514,9780756402518,OL60612W,Foreigner: 10th Anniversary Edition,C.J. Cherryh,2324739c-1ca8-47a5-8abe-d1ae5aa84f14
Sheri S. Tepper,Grass,553285653,9780553285659,OL104514W,Grass,Sheri S. Tepper,3da7fbd8-e23b-449c-82a5-9289bf2a3430
H.G. Wells,The First Men in the Moon,6147658,,OL52260W,The First Men in the Moon,H.G. Wells,83d1d0c9-f4b3-4b24-acf0-0723b1ef13d5
J.G. Ballard,The Drowned World,,9780007221837,OL2745976W,The Drowned World,J.G. Ballard,ec763da3-ef75-487b-8c54-5cd99cde8fc3
Greg Bear,The Forge of God,812524330,9780812524338,OL16514W,The Forge of God,Greg Bear,e222f35b-4771-4da9-9af0-931f26d11f9d
Kurt Vonnegut Jr.,Galapagos,586090452,9780586090459,OL98471W,Galápagos,Kurt Vonnegut,d4a9c28a-18d3-4bd3-8c40-9ad1eb1bba9e
Harry Harrison,The Stainless Steel Rat,1857984986,9781857984989,OL467284W,The Stainless Steel Rat,Harry Harrison,89817b69-e797-48d0-8018-6e0997b12222
Anne McCaffrey,The Rowan,1423330293,9781423330295,OL73338W,The Rowan,Anne McCaffrey,c1e79c4d-3020-4b78-9590-5a2bd30d191b
Stanislaw Lem,The Cyberiad,156235501,,OL2683553W,The Cyberiad,Stanisław Lem,567d69a2-7f24-47ce-a820-28464127d7c1
John Christopher,The White Mountains,340042168,,OL34357858W,The White Mountains,John Christopher,5573acbc-4077-4aec-934f-f601884dca58
Philip K. Dick,Martian Time-Slip,3453217268,9783453217263,OL2172408W,Martian Time-Slip,Philip K. Dick,02e7b6d5-68d3-4856-8c62-2e148a5384b3
Joanna Russ,The Female Man,704347377,9780704347373,OL3332541W,The Female Man,Joanna Russ,f0bd4d5a-c215-48e6-845a-c475dad33334
Frederik Pohl & C.M. Kornbluth,The Space Merchants,1427251770,9781427251770,OL60943W,The Space Merchants,"C.M. Kornbluth, Frederik Pohl",b03e3f79-3271-4321-a7ce-c7438b91e5e4
Jack McDevitt,The Engines of God,441000770,,OL92871W,The Engines of God,Jack McDevitt,5c5d515f-3529-40a2-89b2-e539132253ca
Kurt Vonnegut Jr.,Player Piano,440170370,9780440170372,OL98484W,Player Piano,Kurt Vonnegut,c2ed3bf2-c9e3-4571-a20a-432de4a3cb89
John Steakley,Armor,886773687,9780886773687,OL4447466W,Armor,John Steakley,fcf54ca9-7dc4-4ddc-b4c7-8dcf64b3d839
Joan D. Vinge,The Snow Queen,446676640,,OL2816487W,The Snow Queen,Joan D. Vinge,5ecbdd3c-2614-4a63-80aa-208d6b173f58
Kate Wilhelm,Where Late the Sweet Birds Sang,312866151,,OL506264W,Where Late the Sweet Birds Sang,Kate Wilhelm,87e14498-63ac-45ef-8589-ab7cb19f68b5
Olaf Stapledon,Star Maker,1857988078,9781857988079,OL3290739W,Star Maker,Olaf Stapledon,c1d60727-8e24-4a1f-9f0e-974d68a934d2
Nevil Shute,On the Beach,3190002398,9783190002399,OL2779754W,On the Beach,Nevil Shute,676de000-7c24-493b-a7c7-fd0a80eab75a
Jack Finney,Invasion of the Body Snatchers,722135033,9780722135037,OL20106551W,Invasion of the Body Snatchers,Jack Finney,44a3fa67-76da-43c6-b96c-5d631a5db750
Nancy Kress,Beggars in Spain,60733489,9780060733483,OL1847211W,Beggars in Spain,Nancy Kress,ddd632a2-5586-478d-936c-1dbdbc7cd769
Philip K. Dick,Time Out of Joint,,9780547725666,OL2172523W,Time Out of Joint,Philip K. Dick,f60eb1af-e943-42a8-b13f-d477bebc3561
Christopher Priest,The Inverted World,1590172698,9781590172698,OL166496W,The Inverted World,Christopher Priest,148501ce-e99c-45cf-b2f3-180ae8b26d39
Greg Egan,Diaspora,3453161815,9783453161818,OL115341W,Diaspora,Greg Egan,cf3e5868-a15f-4b21-ba08-e8779bddfc88
Julian May,The Many-Coloured Land,033026656X,9780330266567,OL2360561W,The Many-Coloured Land,Julian May,e028cf13-ae71-4279-8871-c53672928df7
Gregory Benford,Timescape,2207303330,9782207303337,OL108288W,Timescape,Gregory Benford,2baddd62-a33c-4685-9013-009028cd42b3
Kage Baker,In the Garden of Iden,340708263,9780340708262,OL20116370W,In the Garden of Iden,Kage Baker,e2ec0904-c53f-4f4a-858c-682984dd05c6
Harlan Ellison [editor],Dangerous Visions,425022749,9780425022740,OL1737330W,,,
Vonda N. McIntyre,Dreamsnake,395264707,9780395264706,OL1921526W,Dreamsnake,Vonda N. McIntyre,fbb434a5-2f78-4964-bbde-8629d51ecce2
Marge Piercy,Woman on the Edge of Time,,9781473529717,OL35706485W,Woman on the Edge of Time,Marge Piercy,b60afc02-3333-4290-8d94-cd7cdd3785d7
Stephen R. Donaldson,The Real Story,553295098,9780553295092,OL1902799W,The Gap Into Conflict: The Real Story,Stephen R. Donaldson,b6071aa9-057a-4cf7-9e0d-bae62ed17e99
Samuel R. Delany,Nova,553236210,9780553236217,OL56833W,Nova,Samuel R. Delany,89c29738-15f7-42b7-8215-810822a62c26
Robert A. Heinlein,The Man Who Sold the Moon,,9780575113107,OL59717W,The Man Who Sold the Moon,Robert A. Heinlein,e4c1e263-98c6-4f99-a679-6af4049b021b
C.J. Cherryh,Cyteen,446514284,,OL60589W,Cyteen,C.J. Cherryh,1b158c05-9abb-4548-a566-8efe012814b0
H. Beam Piper,Little Fuzzy,843959118,9780843959116,OL579085W,Little Fuzzy,H. Beam Piper,6dc935e5-36c1-4ded-8822-32a8b83d302e
Olaf Stapledon,Last and First Men,185798806X,9781857988062,OL3290731W,Last and First Men,Olaf Stapledon,7caf85e7-91dc-40aa-9486-7adb731ce951
Greg Egan,Permutation City,3404242009,9783404242009,OL115336W,Permutation City,Greg Egan,3b26e892-859f-456f-8326-bc43e3a4c860
William F. Nolan,Logan's Run,553025171,9780553025170,OL16476747W,Logan's Run,"William F. Nolan, George Clayton Johnson",d544b129-6d32-47d8-bf1f-deb24c1f4cba
David Brin,Earth,553057782,,OL58705W,Earth,David Brin,444b0d24-78ef-440b-853c-ab46d8198683
Frederik Pohl,Man Plus,394486765,,OL60939W,Man Plus,Frederik Pohl,f6345634-c95d-43fe-9d08-006432a447f2
Peter Watts,Starfish,765315963,9780765315960,OL8514693W,Starfish,Peter Watts,cd48f2fb-90b3-42a1-af2b-5b28a7f246e8
Robert Silverberg,Dying Inside,283985771,9780283985775,OL9371185W,Dying Inside,Robert Silverberg,55430384-f7a5-4f71-9469-bf946c48d9cf
James Blish,A Case of Conscience,,9780575103986,OL53404W,A Case of Conscience,James Blish,bcf3ec92-7c21-4c55-8334-702a3982565f
Robert L. Forward,Dragon's Egg,034543529X,,OL84296W,Dragon's Egg,Robert L. Forward,b64b7323-a3de-4901-97ba-9ffbd4bde30f
Brian W. Aldiss,Non-Stop,1585676837,,OL892520W,Non-Stop,Brian W. Aldiss,84ffe05d-a86c-4ef4-be62-ebc3c898236f
Hal Clement,Mission of Gravity,450029948,,OL60884W,Mission of Gravity,Hal Clement,ffc48706-e4e9-4112-8e2c-b079cb7254ae
Stanislaw Lem,The Futurological Congress,038028720X,9780380287208,OL31490260W,The Futurological Congress,Stanisław Lem,7d119121-f590-489f-be01-5ea91230a545
A.E. van Vogt,Slan,792749154,9780792749158,OL8404014W,Slan,A.E. van Vogt,ae709cee-a224-43fe-8128-db3644676afb
John Brunner,The Sheep Look Up,1932100059,,OL3521965W,The Sheep Look Up,John Brunner,e85e32bb-d01b-4b73-8875-cf852f7f7810
Andy Weir,The Martian,804139024,9780804139021,OL17091839W,The Martian,Andy Weir,977e301d-c438-40f4-810b-25a96dbee03e
Ernest Cline,Ready Player One,1524755613,9781524755614,OL15936512W,Ready Player One,Ernest Cline,c84bba55-3c4c-4351-b445-3f6f780156c4
Liu Cixin,The Three-Body Problem,521852242,9780521852241,OL15172337W,The Three-Body Problem,Cixin Liu,0d0b38af-11b8-4acb-baf1-e543338a1549
Andy Weir,Project Hail Mary,1529100623,9781529100624,OL21745884W,Project Hail Mary,Andy Weir,ac3ea915-993d-4f30-8632-0f91e4ad0704
Martha Wells,All Systems Red,,9780765397539,OL17914663W,All Systems Red,Martha Wells,0885d5f1-edc2-435f-b17c-7e881829dbc6
James S.A. Corey,Leviathan Wakes,316129089,9780316129084,OL16114008W,Leviathan Wakes,James S.A. Corey,c83664bb-15bf-4404-b896-af6bbb0cfc18
Blake Crouch,Dark Matter,1101904224,,OL17358795W,Dark Matter,Blake Crouch,de9876fa-b1e5-4ef9-afa4-a32d39af7cc4
Pierce Brown,Red Rising,9788427208384,,OL17076473W,Red Rising,Pierce Brown,240f2048-8438-49b7-90a3-a5dc1018270f
Becky Chambers,The Long Way to a Small Angry Planet,62444131,,OL17716925W,"The Long Way to a Small, Angry Planet",Becky Chambers,9a95c81f-7a91-4087-971c-5ff14d5403dd
John Scalzi,Old Man's War,765309408,,OL5734647W,Old Man's War,John Scalzi,332929c6-7b62-4bc6-869b-0d775958d1d6
Jeff VanderMeer,Annihilation,374710775,9780374710774,OL17268007W,Annihilation,Jeff VanderMeer,fda768e2-65be-43cc-a83e-3dfe4ad15775
Andy Weir,Artemis,525532102,9780525532101,OL17837968W,Artemis,Andy Weir,89ba2335-8865-4534-86a1-be2315090865
Ann Leckie,Ancillary Justice,,9780356502403,OL17062644W,Ancillary Justice,Ann Leckie,92b37194-21e3-494e-8f4d-11843d8331a0
Adrian Tchaikovsky,Children of Time,316452505,9780316452502,OL17373843W,Children of Time,Adrian Tchaikovsky,142bc3cb-3aac-49e5-8527-b3cc9675f158
Blake Crouch,Recursion,1524759783,,OL20073906W,Recursion,Blake Crouch,bbc4a8fd-d198-4656-a800-ab3cdf140ad0
Stephenie Meyer,The Host,1600241662,9781600241666,OL5720033W,The Host,Stephenie Meyer,59e22d56-62fe-4895-a3ec-c14098eeff5b
John Scalzi,Redshirts,765316994,"9780765316998, 
    9781429963602",OL16564627W,Redshirts,John Scalzi,c953af61-de33-431f-b312-b0914e363bb6
Hugh Howey,Wool Omnibus,1469984202,9781469984209,OL31204527W,Wool Omnibus,Hugh Howey,e71af7e3-edb4-42bd-a81a-d4c8b8909613
Margaret Atwood,Oryx and Crake,747562598,,OL675722W,Oryx and Crake,Margaret Atwood,ef0b4270-198a-4500-8476-03300600b741
Richard K. Morgan,Altered Carbon,1400151376,9781400151370,OL8698136W,Altered Carbon,Richard K. Morgan,39e7ef37-f856-4184-885e-50afc803fcb7
Ted Chiang,Stories of Your Life and Others,076530418X,,OL6216050W,Stories of Your Life and Others,Ted Chiang,c34ac03b-3b0e-4a24-b694-e46674918a3a
Emily St. John Mandel,Sea of Tranquility,593556593,9780593556597,OL24731706W,Sea of Tranquility,Emily St. John Mandel,e55ebebb-6deb-4fee-9aff-6793c958b1fe
Becky Chambers,A Psalm for the Wild-Built,1250236215,9781250236210,OL22561871W,A Psalm for the Wild-Built,Becky Chambers,e630cc5f-0870-41cd-a76c-52a4373fa254
Nnedi Okorafor,Binti,765385252,,OL19330487W,Binti,Nnedi Okorafor,e574fcd3-8ee5-4843-af56-d79d5766ea33
Neal Stephenson,Seveneves,62190377,9780062190376,OL17829905W,Seveneves,Neal Stephenson,f9ed1b15-177e-424b-a3bf-942abb99afef
Brandon Sanderson,Skyward,399555773,9780399555770,OL18191919W,Skyward,Brandon Sanderson,e5d7dfe4-6ee6-4c8c-a49c-f85c670bde52
Paolo Bacigalupi,The Windup Girl,,9781597801584,OL15000756W,The Windup Girl,Paolo Bacigalupi,572eac0c-0a69-47c0-be50-87759ac01863
Ted Chiang,Exhalation,1101947888,9781101947883,OL20149336W,Exhalation,Ted Chiang,fd4f1230-6a84-41a2-9308-a4615aca366d
Alastair Reynolds,Revelation Space,1857987489,9781857987485,OL5724837W,Revelation Space,Alastair Reynolds,d933084b-a1b2-482b-b88c-33a3a8b48e6c
Dennis E. Taylor,We Are Legion (We Are Bob),,,OL19123425W,We Are Legion (We Are Bob),Dennis E. Taylor,aa3ec700-04fd-41e2-8b37-1a74395fba33
John Scalzi,Lock In,,9780765381323,OL19627440W,Lock In,John Scalzi,e265cf1a-d98f-48c6-9a5a-38841bfc016b
Ernest Cline,Armada,,9788466658935,OL17343072W,Armada,Ernest Cline,6674761c-c1fb-48f9-839e-6e92201eb761
John Scalzi,The Collapsing Empire,076538888X,9780765388889,OL20048398W,The Collapsing Empire,John Scalzi,7025080e-4de5-4aa8-99fa-4147d0891041
Neal Stephenson,Anathem,006147410X,9780061474101,OL14911626W,Anathem,Neal Stephenson,d3750d47-26fc-43ac-ab34-58390e0bc361
Becky Chambers,"To Be Taught, If Fortunate",1473697166,9781473697164,OL20642211W,"To Be Taught, If Fortunate",Becky Chambers,68ab6936-20e3-4ffe-81c1-0eb67ae603f5
Peter Watts,Blindsight,765312182,9780765312181,OL8514692W,Blindsight,Peter Watts,57fd0912-3e02-4a55-b7a8-86f584ecf373
Peter F. Hamilton,Pandora's Star,330493310,9780330493314,OL474061W,Pandora's Star,Peter F. Hamilton,1524ca57-fcbd-4c79-bf5c-14ea18b1e5f0
John Scalzi,The Kaiju Preservation Society,765389126,9780765389121,OL24337701W,The Kaiju Preservation Society,John Scalzi,af548a61-2cf5-4943-a51f-3531b94adac3
Robert Charles Wilson,Spin,765309386,,OL14951012W,Spin,Robert Charles Wilson,6aa43874-9a83-484e-a1e0-d6135aef9a04
Pratchett & Baxter,The Long Earth,,9780552164085,OL16769202W,The Long Earth,"Terry Pratchett, Stephen Baxter",69e9839a-90ea-4a20-baaf-0589b2fd8a1f
Matt Haig,The Humans,,9781476727912,OL16805374W,The Humans,Matt Haig,6c17d483-90ec-4d05-937c-24fb0dcd0bba
Blake Crouch,Upgrade,,9781529045376,OL26672478W,Upgrade,Blake Crouch,7c4b3726-d4d3-40d1-a828-82e74998fc87
Micaiah Johnson,The Space Between Worlds,593135059,9780593135051,OL20884745W,The Space Between Worlds,Micaiah Johnson,79f38f1f-bc2e-475d-a46b-5c5eb0726b70
Michael Crichton,Prey,66214122,9780066214122,OL46883W,Prey,Michael Crichton,bbc43464-9426-4b24-aa97-b57dc8db9045
Amie Kaufman & Meagan Spooner,These Broken Stars,804123438,9780804123433,OL20370233W,These Broken Stars,"Amie Kaufman, Meagan Spooner",eeb3eccc-9d6e-4f5e-b0ab-e57787e07e01
China Miéville,Embassytown,,9780230760417,OL16001889W,Embassytown,China Miéville,2edc5660-eda1-4d64-9de4-a4ad2b45573a
Yoon Ha Lee,Ninefox Gambit,1781084491,9781781084496,OL20033218W,Ninefox Gambit,Yoon Ha Lee,24ce970f-a9a3-437d-85f3-44efe858c923
Jeff VanderMeer,Borne,,9780374115241,OL17762236W,Borne,Jeff VanderMeer,64003f28-5008-4880-9854-035db31e0d84
Daniel H. Wilson,Robopocalypse,,9780385533850,OL15673300W,Robopocalypse,Daniel H. Wilson,e65a8074-6cb4-414f-919a-98a918502170
Hannu Rajaniemi,The Quantum Thief,765367661,9780765367662,OL17699438W,The Quantum Thief,Hannu Rajaniemi,bdabbd29-b6b3-4018-bd92-01819d4b6c00
Dan Simmons,Ilium,8466615806,,OL1963271W,Ilium,Dan Simmons,1387be41-1f49-47b7-92e0-99d2e496fba4
Jack Campbell,Dauntless,441014186,9780441014187,OL15687124W,Dauntless,Jack Campbell,b35b148b-f23b-43cf-b01b-1cf93f5a8316
Connie Willis,Blackout,345519833,9780345519832,OL14914265W,Blackout,Connie Willis,161656cf-7fdb-4c96-984a-ed7aa34d9977
Everina Maxwell,Winter's Orbit,1250758831,9781250758835,OL20850223W,Winter's Orbit,Everina Maxwell,2891c3f4-81d6-43d1-b892-4d30ac56d41e
Dmitry Glukhovsky,Metro 2033,,9783453532984,OL16796766W,Metro 2033,Dmitry Glukhovsky,cfc8f38a-c24b-499d-b707-936d660023c3
Kim Stanley Robinson,Aurora,,9780356500485,OL17346803W,Aurora,Kim Stanley Robinson,f82a35c5-345f-48bc-8849-cc0886038e47
Mur Lafferty,Six Wakes,316389684,9780316389686,OL17879630W,Six Wakes,Mur Lafferty,2967c308-fbb4-495d-8918-127d2c9bdc14
William Gibson,Pattern Recognition,399149864,,OL15014715W,Pattern Recognition,William Gibson,ae788512-fb48-494d-98c1-d721d4d9a850
Alastair Reynolds,Chasm City,441010644,9780441010646,OL5724831W,Chasm City,Alastair Reynolds,84655591-03ef-47e0-bfb8-369cf530a462
Kim Stanley Robinson,2312,,9780316098120,OL16298967W,2312,Kim Stanley Robinson,16acfe54-4ed9-4b6f-b9e9-00aaa4150d7e
William Gibson,The Peripheral,670921556,,OL17268037W,The Peripheral,William Gibson,92d28fae-1e3d-43ec-9702-15ee11ffc43d
Ann Leckie,Provenance,,9780356506982,OL18149680W,Provenance,Ann Leckie,e08e5fd7-48a1-47e7-b440-890d0692eaaf
Peter F. Hamilton,The Dreaming Void,140508880X,9781405088800,OL474058W,The Dreaming Void,Peter F. Hamilton,f6315f1a-3275-414e-8d6d-75e289e6d914
Daniel Suarez,Daemon,1101007516,9781101007518,OL13646905W,Daemon,Daniel Suarez,e7ae91a7-13fb-4e2d-a340-2bbcbf0d059b
Sarah Gailey,The Echo Wife,125017466X,9781250174666,OL20851667W,The Echo Wife,Sarah Gailey,8ee39d1f-87e8-4c32-b639-2f669bd4d303
Rachel Bach,Fortune's Pawn,1452666032,9781452666037,OL24390625W,Fortune's Pawn,Rachel Bach,d4c5af02-b06a-4e32-a2e8-209935fadc7f
Jodi Taylor,Just One Damned Thing After Another,191093948X,9781910939482,OL20028851W,Just One Damned Thing After Another,Jodi Taylor,e6b12a75-40d4-4aea-bdac-e840f4ebc97b
Iain M. Banks,The Algebraist,1597800449,9781597800440,OL8368450W,The Algebraist,Iain M. Banks,89271571-50ca-4316-9d00-4fd74d3f6b8d
Kim Stanley Robinson,The Ministry for the Future,316300144,9780316300148,OL21680947W,The Ministry for the Future,Kim Stanley Robinson,9f23d6cf-ad23-4a50-a400-c75db43a7a1e
Catherynne M. Valente,Space Opera,1472115074,9781472115072,OL19741544W,Space Opera,Catherynne M. Valente,588567c5-7937-4413-af01-3b204cff82ff
Alastair Reynolds,Pushing Ice,441014011,9780441014019,OL5724844W,Pushing Ice,Alastair Reynolds,0861867a-f910-4a90-8214-204b6157fd90
John Scalzi,The Android's Dream,765309416,9780765309419,OL5734644W,The Android's Dream,John Scalzi,a7df81c0-55ec-4568-a3c9-cd8c89e387ca
Ann Aguirre,Grimspace,,,OL9362736W,Grimspace,Ann Aguirre,80607f03-b74d-42e3-8125-61eec692d571
Charles Stross,Accelerando,441012841,9780441014156,OL2465670W,Accelerando,Charles Stross,88f5e5a7-b4e8-4054-8c5f-1a99086ba525
Charles Yu,How to Live Safely in a Sci-Fi Universe,,,OL18817404W,,,
Michael Crichton,Next,60872985,9780060872984,OL46904W,Next,Michael Crichton,563f9824-6a44-4789-abad-64b2bef7cbd7
B. Herbert & K.J. Anderson,The Butlerian Jihad,340823321,9780340823323,OL14961038W,,,
Kass Morgan,The 100,,9780316381963,OL20640523W,The 100,Kass Morgan,8d7a26a0-b686-46c1-99a0-6806cbc5c8f3
Shaun David Hutchinson,We Are the Ants,148144963X,9781481449632,OL17934983W,We Are the Ants,Shaun David Hutchinson,030f64ec-4014-4bab-8750-afee778864ce
Sue Burke,Semiosis,076539135X,9780765391353,OL19734824W,Semiosis,Sue Burke,86bcbae6-64d9-40c3-85cb-0d70982d7c59
Elan Mastai,All Our Wrong Todays,1101985151,9781101985151,OL20170178W,All Our Wrong Todays,Elan Mastai,9902d51d-f590-4876-88cf-f5f5420204e6
Neal Stephenson,Readme,,,OL16099614W,Reamde,Neal Stephenson,3ca5c621-54b1-4fb5-9382-476c53df65fb
Vernor Vinge,Rainbows End,312856849,9780312856847,OL1975712W,Rainbows End,Vernor Vinge,14034204-919f-4bf2-b0aa-3722846f06e1
Charles Stross,The Atrocity Archives,"1930846231, 
    1930846258",,OL2465682W,The Atrocity Archives,Charles Stross,21db007d-d79d-4c13-b647-d26161a85728
Marko Kloos,Terms of Enlistment,1477809783,9781477809785,OL20003263W,Terms of Enlistment,Marko Kloos,e0a47eca-d92c-44d4-8116-03c04e0e0ff8
Kim Stanley Robinson,New York 2140,316262315,9780316262316,OL17937993W,New York 2140,Kim Stanley Robinson,7368a59b-494a-4054-b287-3d637f03f27e
Peter F. Hamilton,Great North Road,,9780330521772,OL16805750W,Great North Road,Peter F. Hamilton,c2117338-b36d-47a9-8e48-90e341885e23
Edward Ashton,Mickey7,1250275032,9781250275035,OL24546118W,Mickey7,Edward Ashton,84b2ea71-3965-4ba7-8a22-c3532df42c76
Kameron Hurley,The Stars Are Legion,1481447939,9781481447935,OL19618080W,The Stars Are Legion,Kameron Hurley,19dd1886-b72b-4d13-8baa-ea95eb34eae6
Charles Stross,Singularity Sky,441010725,,OL2465688W,Singularity Sky,Charles Stross,cf3f9c88-b131-40c2-a813-50e0987b7818
Yume Kitasei,The Deep Sky,933346808,,OL28888051W,The Deep Sky,Yume Kitasei,72f17f37-f478-4281-ad62-81855842dc95
Jessie Mihalik,Polaris Rising,62802380,9780062802385,OL20781739W,Polaris Rising,Jessie Mihalik,58714381-9643-46f1-83f5-2486afc19b36
Alastair Reynolds,Blue Remembered Earth,425256162,9780425256169,OL16532269W,Blue Remembered Earth,Alastair Reynolds,482f65b1-2eed-4832-a545-ee2785adce3b
Alastair Reynolds,Revenger,575090545,9780575090545,OL17857694W,Revenger,Alastair Reynolds,44e4d55b-2c1f-46f9-856a-55361cee48f9
Neal Asher,Gridlinked,765307359,,OL5737668W,Gridlinked,Neal Asher,ad157607-3b07-429c-b7f6-4a650d15d8b0
Eric S. Nylund,Halo: The Fall of Reach,1508284873,9781508284871,OL20523203W,Halo: The Fall of Reach,Eric S. Nylund,25e443c3-a9fb-4e90-900c-5f709720c811
David Weber,Off Armageddon Reef,765315009,9780765315007,OL8259708W,Off Armageddon Reef,David Weber,674f0c7e-d5fe-4fe6-b034-44049e7f05e6
Elizabeth Moon,The Speed of Dark,345447557,,OL14871719W,The Speed of Dark,Elizabeth Moon,57179924-a98b-4c8a-abb1-f2b39cb030f9
Peter F. Hamilton,Fallen Dragon,3404232569,9783404232567,OL474021W,Fallen Dragon,Peter F. Hamilton,7afa6452-d571-4f10-aae0-fee200fd8982
Craig Alanson,Columbus Day,1520126247,9781520126241,OL24145125W,Columbus Day,Craig Alanson,1cd89655-eacd-469a-ab7d-e940830034db